20 190
0 1 14
0 2 48
0 3 658
0 4 766
0 5 39
0 6 38
0 7 22
0 8 780
0 9 5
0 10 749
0 11 60
0 12 317
0 13 31
0 14 46
0 15 289
0 16 585
0 17 43
0 18 15
0 19 3
1 2 28
1 3 4
1 4 37
1 5 149
1 6 255
1 7 84
1 8 13
1 9 934
1 10 38
1 11 32
1 12 0
1 13 111
1 14 18
1 15 19
1 16 34
1 17 192
1 18 20
1 19 400
2 3 114
2 4 196
2 5 26
2 6 47
2 7 28
2 8 210
2 9 45
2 10 325
2 11 229
2 12 447
2 13 35
2 14 28
2 15 773
2 16 708
2 17 25
2 18 221
2 19 31
3 4 298
3 5 4
3 6 34
3 7 18
3 8 395
3 9 14
3 10 186
3 11 216
3 12 962
3 13 26
3 14 12
3 15 939
3 16 771
3 17 26
3 18 826
3 19 18
4 5 18
4 6 44
4 7 3
4 8 449
4 9 18
4 10 331
4 11 207
4 12 15
4 13 0
4 14 9
4 15 743
4 16 636
4 17 33
4 18 607
4 19 47
5 6 94
5 7 341
5 8 48
5 9 182
5 10 22
5 11 10
5 12 39
5 13 942
5 14 703
5 15 11
5 16 2
5 17 990
5 18 13
5 19 933
6 7 25
6 8 44
6 9 100
6 10 41
6 11 21
6 12 27
6 13 14
6 14 385
6 15 32
6 16 31
6 17 487
6 18 44
6 19 103
7 8 19
7 9 989
7 10 35
7 11 40
7 12 32
7 13 197
7 14 269
7 15 32
7 16 31
7 17 467
7 18 32
7 19 613
8 9 38
8 10 837
8 11 867
8 12 946
8 13 46
8 14 34
8 15 686
8 16 951
8 17 26
8 18 759
8 19 24
9 10 16
9 11 0
9 12 3
9 13 711
9 14 25
9 15 32
9 16 21
9 17 388
9 18 24
9 19 681
10 11 191
10 12 368
10 13 40
10 14 48
10 15 332
10 16 725
10 17 12
10 18 477
10 19 32
11 12 660
11 13 32
11 14 32
11 15 903
11 16 615
11 17 43
11 18 284
11 19 7
12 13 26
12 14 18
12 15 91
12 16 418
12 17 12
12 18 532
12 19 30
13 14 64
13 15 43
13 16 21
13 17 185
13 18 45
13 19 336
14 15 19
14 16 35
14 17 333
14 18 29
14 19 755
15 16 723
15 17 33
15 18 499
15 19 6
16 17 39
16 18 269
16 19 15
17 18 23
17 19 709
18 19 19
